Date, Open, High, Low, Close
12/31/04, 10800.30, 10832.52, 10781.01, 10783.01
12/30/04, 10829.12, 10850.18, 10799.71, 10800.30
12/29/04, 10853.72, 10853.72, 10795.57, 10829.19
12/28/04, 10776.06, 10859.04, 10773.92, 10854.54
12/27/04, 10828.01, 10868.07, 10776.13, 10776.13
12/23/04, 10815.00, 10864.67, 10809.53, 10827.12
12/22/04, 10752.34, 10822.68, 10739.19, 10815.89
12/21/04, 10661.89, 10765.27, 10661.89, 10759.43
12/20/04, 10652.14, 10735.27, 10652.07, 10661.60
12/17/04, 10704.83, 10739.33, 10641.88, 10649.92
12/16/04, 10691.71, 10726.85, 10661.67, 10705.64
12/15/04, 10675.71, 10706.16, 10636.47, 10691.45
12/14/04, 10640.53, 10695.07, 10621.03, 10676.45
12/13/04, 10543.44, 10642.53, 10543.21, 10638.32
12/10/04, 10552.16, 10575.58, 10522.68, 10543.22
12/09/04, 10492.45, 10562.51, 10418.63, 10552.82
12/08/04, 10438.77, 10506.85, 10438.66, 10494.23
12/07/04, 10546.80, 10567.16, 10440.36, 10440.58
12/06/04, 10591.32, 10591.99, 10526.82, 10547.06
12/03/04, 10597.90, 10643.05, 10560.58, 10592.21
12/02/04, 10590.44, 10629.16, 10544.77, 10585.12
12/01/04, 10425.80, 10590.22, 10425.76, 10590.22
11/30/04, 10475.27, 10483.14, 10428.02, 10428.02
11/29/04, 10520.64, 10557.41, 10417.08, 10475.90
11/26/04, 10518.69, 10543.29, 10508.56, 10522.23
11/24/04, 10493.86, 10527.40, 10482.26, 10520.31
11/23/04, 10486.69, 10514.99, 10436.38, 10492.60
11/22/04, 10455.73, 10508.04, 10432.01, 10489.42
11/19/04, 10571.63, 10573.74, 10438.58, 10456.91
11/18/04, 10549.20, 10585.26, 10547.39, 10572.55
11/17/04, 10481.83, 10602.85, 10481.83, 10549.57
11/16/04, 10549.79, 10549.79, 10477.95, 10487.65
11/15/04, 10541.89, 10563.02, 10517.13, 10550.24
11/12/04, 10469.21, 10539.60, 10460.40, 10539.01
11/11/04, 10386.95, 10486.65, 10386.95, 10469.84
11/10/04, 10378.59, 10439.40, 10378.59, 10385.48
11/09/04, 10387.62, 10427.81, 10368.59, 10386.37
11/08/04, 10385.15, 10405.69, 10361.44, 10391.31
11/05/04, 10317.05, 10416.67, 10316.98, 10387.54
